TCP SRC PORT,TCP DST PORT,HDR_LEN,SEQ,WINDOW_SIZE,LABEL
34384,443,20,3379,65320,HTTP
443,34384,20,4550,65535,HTTP
34384,443,20,3379,65320,HTTP
443,34384,20,4596,65535,HTTP
56864,443,20,1474,53960,HTTP
443,56864,20,1616,65535,HTTP
443,56864,20,1616,65535,HTTP
443,56864,20,1692,65535,HTTP
443,56864,20,1730,65535,HTTP
56864,443,20,1650,53960,HTTP
56864,443,20,1650,53960,HTTP
443,56864,20,1776,65535,HTTP
35506,443,20,7657,65535,HTTP
443,35506,20,187599,65535,HTTP
443,35506,20,187599,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,194625,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,196055,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,198915,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,201775,65535,HTTP
443,35506,20,202905,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,244641,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,246303,65535,HTTP
35506,443,20,7747,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,247877,65535,HTTP
38124,443,20,400,31088,HTTP
443,38124,20,280,65535,HTTP
443,38124,20,280,65535,HTTP
38124,443,20,487,31088,HTTP
443,38124,20,373,65535,HTTP
37534,443,20,556,31088,HTTP
443,37534,20,280,65535,HTTP
443,37534,20,280,65535,HTTP
37534,443,20,695,31088,HTTP
443,37534,20,373,65535,HTTP
35506,443,20,7793,65535,HTTP
35506,443,20,8023,65535,HTTP
443,35506,20,247877,65535,HTTP
443,35506,20,247877,65535,HTTP
35506,443,20,8061,65535,HTTP
443,35506,20,247877,65535,HTTP
443,35506,20,247877,65535,HTTP
443,35506,20,248025,65535,HTTP
35506,443,20,8194,65535,HTTP
35506,443,20,8194,65535,HTTP
35506,443,20,8518,65535,HTTP
443,35506,20,248109,65535,HTTP
443,35506,20,248109,65535,HTTP
443,35506,20,248109,65535,HTTP
35506,443,20,8564,65535,HTTP
443,35506,20,248202,65535,HTTP
443,35506,20,248202,65535,HTTP
443,35506,20,248299,65535,HTTP
35506,443,20,8610,65535,HTTP
35506,443,20,8610,65535,HTTP
443,35506,20,248383,65535,HTTP
35506,443,20,8656,65535,HTTP
443,35506,20,248383,65535,HTTP
443,35506,20,248383,65535,HTTP
443,35506,20,248495,65535,HTTP
35506,443,20,8763,65535,HTTP
35506,443,20,8763,65535,HTTP
443,35506,20,248541,65535,HTTP
35506,443,20,8809,65535,HTTP
443,35506,20,248541,65535,HTTP
35506,443,20,8973,65535,HTTP
443,35506,20,248541,65535,HTTP
443,35506,20,248541,65535,HTTP
443,35506,20,248689,65535,HTTP
35506,443,20,9011,65535,HTTP
35506,443,20,9011,65535,HTTP
443,35506,20,248773,65535,HTTP
35506,443,20,9057,65535,HTTP
443,35506,20,248773,65535,HTTP
55404,443,20,595,31088,HTTP
443,55404,20,280,65535,HTTP
443,55404,20,280,65535,HTTP
55404,443,20,747,31088,HTTP
443,55404,20,373,65535,HTTP
35506,443,20,9235,65535,HTTP
443,35506,20,248773,65535,HTTP
443,35506,20,248773,65535,HTTP
35506,443,20,9621,65535,HTTP
